Name,Strength,Vision,Outcome
5,1.61304,3.38696,0
6,2.64186,2.35814,0
7,4.0626,0.937404,0
8,1.46912,3.53088,0
9,2.75973,2.24027,0
10,3.27147,1.72853,0
11,2.11862,2.88138,0
12,3.12769,1.87231,0
13,3.81894,1.18106,0
14,4.04216,0.957841,0
16,3.19954,1.80046,0
18,0.894984,4.10502,0
19,4.486,0.514004,0
20,1.24442,3.75558,0
22,1.51964,3.41203,0
23,3.38975,1.52569,0
24,3.31429,1.49476,0
9,2.73002,2.26998,1
20,1.94919,3.05081,1
21,1.83178,3.16822,1
2,3.86407,1.13593,0
3,2.55843,2.44157,0
4,4.76995,0.230049,0
5,0.91253,4.08747,0
6,1.67651,3.32349,0
7,1.6151,3.3849,0
8,0.968657,4.03134,0
10,4.18326,0.816738,0
11,3.07729,1.92271,0
12,3.50863,1.49137,0
13,4.83366,0.16634,0
14,0.184101,4.8159,0
15,0.0341362,4.96586,0
16,1.15726,3.84274,0
17,1.43907,3.56093,0
18,4.56757,0.432426,0
19,0.827338,4.17266,0
22,2.55316,2.27772,0
23,2.54988,2.31456,0
24,2.62081,2.30176,0
25,2.50352,2.22113,0
26,2.58086,2.19818,0
27,2.6361,2.2274,0
28,2.61782,2.18585,0
29,2.61849,2.24024,0
30,2.5358,2.20338,0
31,2.60404,2.16203,0
17,0.222655,4.77735,1
19,3.68006,1.31994,1
2,2.46683,2.53317,0
3,3.1095,1.8905,0
4,4.13601,0.863994,0
5,2.0501,2.9499,0
6,4.76668,0.233323,0
7,4.24573,0.754267,0
8,0.021461,4.97854,0
9,2.69632,2.30368,0
10,3.54981,1.45019,0
11,2.56766,2.43234,0
12,1.80343,3.19657,0
13,1.93308,3.06692,0
14,2.56515,2.43485,0
15,4.73209,0.267905,0
16,2.18338,2.81662,0
18,4.4774,0.522599,0
20,1.02155,3.97845,0
21,1.58833,3.41167,0
17,0.222655,4.77735,1
19,3.68006,1.31994,1
2,2.46683,2.53317,0
3,3.1095,1.8905,0
4,4.13601,0.863994,0
5,2.0501,2.9499,0
6,4.76668,0.233323,0
7,4.24573,0.754267,0
8,0.021461,4.97854,0
9,2.69632,2.30368,0
